cas,so_ma,q_kg,ngay_dinh,nguong_kg,ty_le
9004-70-0,19,7302.0,2026-01-14,10000.0,0.7302
26471-62-5,1,972.0,2026-03-11,10000.0,0.0972
109-66-0,1,225.0,,5000.0,0.045
106-97-8,1,225.0,,10000.0,0.0225
74-98-6,1,225.0,,10000.0,0.0225
74-84-0,1,225.0,,10000.0,0.0225
75-08-1,1,225.0,,10000.0,0.0225
1338-23-4,1,50.0,,5000.0,0.01
67-56-1,12,3656.0,2026-03-11,500000.0,0.007312
7775-09-9,1,0.0,2025-12-29,50000.0,0.0
